kamar;bangunan;lahan;harga
3;75;84;590000000
3;70;71;700000000
2;36;72;386000000
2;60;60;499000000
2;90;114;397500000
2;60;60;557000000
2;48;80;448000000
2;36;60;150000000
7;200;620;22500000000
3;75;84;580000000
3;75;84;600000000
3;75;84;580000000
7;350;276;3500000000
2;30;60;150500000
7;670;620;10000000000
2;30;60;297000000
3;100;100;1250000000
3;60;80;250000000
3;65;71;1171000000
2;37;60;331500000
2;70;100;350000000
4;70;120;225000000
2;100;120;1650000000
2;21;35;65000000
2;80;120;420000000
3;65;70;699000000
3;45;72;450000000
2;30;50;175000000
2;49;78;468000000
2;36;60;297000000
2;36;60;297000000
2;40;60;180000000
2;30;60;150500000
2;50;70;210000000
2;36;60;150000000
3;50;69;453000000
3;140;125;550000000
4;150;110;1980000000
13;450;421;2300000000
2;30;40;186000000
3;40;65;195000000
2;80;47;300000000
3;50;72;400000000
4;170;342;1500000000
2;30;60;150500000
2;36;72;696000000
3;75;71;675000000
2;30;60;283000000
2;36;60;360000000
2;55;60;497000000
4;73;55;1175000000
3;70;120;199999999
2;45;65;675000000
4;200;260;1700000000
3;100;160;1599000000
3;75;84;500000000
3;61;72;475000000
2;40;60;337000000
2;40;60;477500000
2;36;50;150000000
2;36;84;365000000
6;315;254;2300000000
3;75;84;600000000
3;100;100;1350000000
3;60;80;175000000
2;40;72;497000000
2;30;60;150500000
2;45;72;549500000
3;50;81;500000000
2;40;47;300000000
3;120;90;1500000000
2;40;47;300000000
2;40;60;445000000
4;110;92;935000000
2;83;72;450000000
2;37;60;331500000
2;40;47;390000000
2;45;59;215000000
5;250;150;1500000000
3;150;100;345000000
3;50;62;731000000
2;50;35;300000000
3;45;60;250000000
3;60;36;267000000
5;200;381;2990000000
3;100;120;610000000
3;50;60;687000000
2;30;40;100000000
3;65;90;850000000
3;56;37;665000000
2;36;50;190000000
2;38;63;385000000
3;90;120;770000000
2;45;60;559000000
3;70;167;1088000000
4;70;120;225000000
2;80;120;475000000
4;200;148;1950000000
3;77;193;1518000000
2;50;66;580000000
5;120;110;1370000000
2;40;118;800000000
2;70;126;1000000000
2;40;72;530000000
2;30;60;155025000
3;80;70;695000000
2;58;56;847181500
2;50;72;799000000
3;68;41;925000000
2;40;60;365000000
2;36;60;100000000
4;240;177;2420000000
2;98;120;1796000000
6;324;344;2300000000
2;101;278;1345000000
2;36;60;150000000
2;70;0;600000000
2;60;60;499000000
9;300;215;3200000000
2;36;60;115000000
2;45;80;520000000
3;86;179;1150000000
3;120;60;485000000
4;230;264;3200000000
2;40;55;225000000
3;320;500;4200000000
3;50;83;487000000
2;34;41;640000000
3;50;84;553000000
5;212;155;2788000000
2;43;55;871000000
2;40;60;165000000
2;40;55;225000000
3;83;91;1100000000
8;650;320;4600000000
3;135;290;4300000000
3;94;120;1874706900
2;50;72;205000000
2;40;60;165000000
2;40;60;170000000
4;100;300;227000000
4;80;120;245000000
4;200;500;8100000000
4;90;60;1062000000
3;54;114;600000000
3;100;127;1200000000
2;72;72;244000000
3;75;84;520000000
2;150;128;925000000
4;260;189;1999000000
4;260;189;1999000000
2;68;102;498000000
2;50;91;750000000
3;100;150;1700000000
2;150;128;925000000
2;36;50;150000000
2;36;60;350000000
4;196;290;4400000000
4;180;126;2350000000
2;45;60;260000000
2;54;105;850000000
3;123;102;1789000000
23;1085;385;9500000000
2;42;112;710000000
3;110;158;1650000000
3;124;96;500000000
2;36;66;180000000
2;98;120;1709000000
3;70;100;1171000000
1;30;54;275000000
4;120;130;855000000
2;30;50;130000000
2;27;72;150500000
2;40;60;477500000
5;400;320;6000000000
3;123;102;1689000000
3;60;80;625000000
2;94;90;1723100000
3;80;160;611000000
2;70;100;435000000
2;40;55;225000000
7;800;830;21000000000
4;110;112;1750000000
2;68;34;550000000
4;70;120;225000000
3;115;154;430000000
4;149;63;1550000000
2;36;66;580000000
3;100;226;800000000
3;60;80;475000000
3;80;88;1800000000
4;80;120;245000000
2;40;60;450000000
3;90;100;1000000000
3;241;148;2700000000
5;110;97;685000000
2;36;60;267000000
2;52;84;488000000
2;29;60;297000000
5;300;450;4500000000
2;45;55;220000000
6;400;450;6800000000
2;72;98;575000000
3;60;45;1300000000
2;36;66;1060800000
2;60;98;575000000
5;300;360;3990000000
2;40;47;395000000
3;126;96;1850000000
3;150;190;850000000
4;200;144;2500000000
2;36;50;150000000
2;36;50;150000000
2;40;72;430000000
3;128;90;1700000000
2;160;120;1180000000
2;58;75;400000000
5;300;380;2900000000
12;400;642;21000000000
5;300;255;2300000000
8;1500;1170;33000000000
2;40;43;355000000
2;90;114;397500000
2;35;40;175000000
2;35;55;477000000
3;125;90;1475000000
4;90;57;1069000000
2;30;60;150000000
2;70;119;765000000
2;30;72;280000000
3;88;84;850000000
2;55;60;497000000
3;72;95;579000000
4;80;120;245000000
3;100;92;1399000000
2;36;50;140000000
2;36;60;330000000
3;123;102;1689000000
2;40;60;477500000
2;58;140;990000000
2;36;60;330000000
2;74;114;825500000
3;110;89;1500000000
3;62;59;891000000
3;80;91;1200000000
4;120;144;1350000000
2;60;98;575000000
3;45;72;450000000
3;235;267;2300000000
3;98;105;1800000000
4;90;61;1330000000
3;78;75;918000000
4;300;320;9000000000
3;130;108;1600000000
2;149;70;1600000000
4;147;140;3841200000
15;185;200;2000000000
4;196;290;3829408000
2;40;60;180000000
4;450;450;6800000000
4;180;210;1800000000
2;40;47;395000000
4;240;319;3500000000
3;123;102;1690000000
2;40;72;436000000
5;200;223;3750000000
4;160;126;2350000000
2;37;60;364650000
4;240;177;2390000000
3;140;233;1800000000
2;48;70;425000000
2;48;90;485000000
2;52;90;715000000
3;75;84;495000000
3;350;240;6000000000
4;250;212;2900000000
5;470;414;7500000000
5;150;144;1800000000
6;210;190;2500000000
4;90;61;1198000000
1;411;411;2550000000
3;160;200;3000000000
8;350;276;3250000000
5;200;150;2600000000
2;30;30;145000000
2;100;161;1200000000
3;122;91;1384500000
7;340;288;3300000000
